127.0.0.1 - - [29/Apr/2024:08:04:03 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:04:04 +0530] "GET /PracticeAdvanceJava/addition.html HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:04:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:04:08 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=1 HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:04:12 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=0 HTTP/1.1" 500 262
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:04:26 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=0 HTTP/1.1" 500 262
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:04:38 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=1 HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:05:52 +0530] "GET /PracticeAdvanceJava/input?num1=1&num2=11 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:05:52 +0530] "GET /PracticeAdvanceJava/squareNum?value=12 HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:06:24 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=1 HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:06:25 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=1 HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:06:25 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=1 HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:06:26 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=1 HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:06:27 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=1 HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:06:27 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=1 HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:06:27 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=1 HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:06:27 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=1 HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [29/Apr/2024:08:06:28 +0530] "GET /PracticeAdvanceJava/addition.jsp?num1=1&num2=1 HTTP/1.1" 200 1221
